uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_97197cd4,0,1,2,9.509052,8.194130,1.314922,0.872626,0.488389,2.501368,3.499904
n2_chain_97197cd4,1,0,2,7.525377,0.720493,6.804884,-0.849478,-0.527624,10.647039,5.441867
n2_chain_97197cd4,1,1,2,7.573374,0.720493,6.852881,-0.849478,-0.527624,10.647039,5.441867
n2_chain_971dcf72,0,0,2,8.094955,5.519391,2.575564,-0.158536,-0.987353,7.312074,6.554602
n2_chain_971dcf72,0,1,2,8.108652,5.533088,2.575564,-0.216223,-0.976344,7.312074,6.554602
n2_chain_971dcf72,1,0,4,8.125764,6.855455,1.270309,0.016693,-0.999861,3.809466,7.097186
n2_chain_971dcf72,1,1,4,8.727823,7.457513,1.270309,0.975407,-0.220413,3.809466,7.097186
n2_chain_971dcf72,1,2,4,9.216585,6.855455,2.361130,0.016693,-0.999861,3.809466,7.097186
n2_chain_971dcf72,1,3,4,9.818644,7.457513,2.361130,0.975407,-0.220413,3.809466,7.097186
n2_chain_9e2fbfe5,0,0,2,7.564876,5.436487,2.128389,-0.829339,-0.558746,7.351373,6.289021
n2_chain_9e2fbfe5,0,1,2,8.466339,6.337950,2.128389,-0.619756,-0.784795,7.351373,6.289021
n2_chain_9e2fbfe5,1,0,2,5.855145,2.681123,3.174022,0.063423,-0.997987,1.952075,6.449059
n2_chain_9e2fbfe5,1,1,2,6.286610,2.681123,3.605487,0.063423,-0.997987,1.952075,6.449059
n2_chain_add0f77c,0,0,2,7.052977,4.982024,2.070953,0.372415,0.928066,2.155269,2.362686
n2_chain_add0f77c,0,1,2,8.062537,4.982024,3.080512,0.372415,0.928066,2.155269,2.362686
n2_chain_add0f77c,1,0,4,12.190311,6.529510,5.660801,0.555015,-0.831840,3.895759,6.244033
n2_chain_add0f77c,1,1,4,13.456395,6.529510,6.926885,0.555015,-0.831840,3.895759,6.244033
